"","본인","배우자","모","부","시모","시부","조모","조부","장남","장녀","차남","차녀","삼남","삼녀","사남","사녀","오녀","손자1","손자2","손자3","손자4","손녀1","손녀2","손녀3","손녀4","손녀5",""
"-|대통령|박근혜","3738208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|외교안보수석비서관|김규현","725952","220060","0","0","0","0","0","0","0","99583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|경제수석비서관|강석훈","1315759","151212","89179","0","0","0","0","0","51946","54708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|미래전략수석비서관|현대원","220047","639719","0","0","0","0","0","0","100","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|교육문화수석비서관|김용승","186249","510833","7766","0","0","0","0","0","19758","67105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|고용복지수석비서관|김현숙","924530","1329841","60449","93478","0","0","0","0","42846","0","37424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|인사수석비서관|정진철","720493","1110414","422441","0","0","0","0","0","236786","0","77431","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|연설기록비서관|최진웅","-99729","90393","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|기획비서관|최재영","1661027","422778","0","0","0","0","0","0","0","41889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|국정과제비서관|이련주","5240579","4812804","0","0","0","0","0","0","29826","36287","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|재난안전비서관|김계조","293598","9735","100850","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|행정자치비서관|김석진","99087","394342","0","2046","0","0","0","0","26494","4288","0","2264","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|국민소통비서관|오도성","426916","48046","451863","0","0","0","0","0","1390","0","398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|민정비서관|윤장석","-62662","176290","0","0","0","0","0","0","12638","7719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|법무비서관|최철환","1190536","633634","0","0","0","0","0","0","3","0","612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|민원비서관|최태현","280909","367651","41334","0","0","0","0","0","18518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|통일비서관|김기웅","295392","12361","0","0","0","0","0","0","3909","3562","3302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|홍보기획비서관|천영식","758678","152535","0","0","0","0","0","0","0","3161","0","1900","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|대변인|정연국","390874","5502942","0","0","0","0","0","0","14351","2728","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|뉴미디어정책비서관|최형우","266916","640812","227042","0","0","0","0","0","12902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|춘추관장|육동인","522444","828073","90909","0","0","0","0","0","47318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|경제금융비서관|김철주","152209","298377","163822","0","0","0","0","0","2058","8745","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|산업통상자원비서관|박원주","722621","1654804","0","0","0","0","0","0","18460","19276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|중소기업비서관|정윤모","321855","785334","0","0","0","0","0","0","33019","0","18599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|국토교통비서관|이원재","958150","184437","295143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|농축산식품비서관|허태웅","18640","237576","11362","0","0","0","0","0","0","2116","0","1422","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|해양수산비서관|지희진","205847","472500","49993","317580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|과학기술비서관|김주한","575355","230392","0","0","0","0","0","0","0","0","0","-26711","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|정보방송통신비서관|석제범","1352436","348834","0","0","0","0","0","0","14395","15410","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|기후환경비서관|이찬희","1337941","621254","110564","0","0","0","0","0","5004","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|교육비서관|김관복","800865","845403","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|문화체육비서관|이형환","39385","-878","0","0","0","0","0","0","6","0","140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|관광진흥비서관|박강섭","402144","417595","0","0","0","0","0","0","2731","0","0","58969","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|보건복지비서관|김진수","1599579","557485","-7867","0","0","0","0","0","2200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|여성가족비서관|김종숙","542390","-90203","45346","300020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|고용노동비서관|이성희","636671","47952","0","0","0","0","0","0","3540","5088","0","4049","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|인사비서관|이지헌","565695","58474","16677","85721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"대통령비서실|인사혁신비서관|윤종진","282670","810819","32900","24324","0","0","0","0","0","36634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"국가안보실|국가안보실장|김관진","904850","864269","0","0","0","0","0","0","0","174337","0","43267","0","19602","0","0","0","0","0","0","0","0","0","0","0","0",""
